Site_ID,Date_Created,Site_Name,Model,Hardware,Firmware_Version,Firmware_Upgrade,Latitude,Longitude,Elevation,County,Geohash_4,Geohash_5,Geohash_6,Geohash_7,Imposter_Sensors,Indoor_Sensors,Problematic_Sensors,geometry
20737,12/5/18 12:24,AZ South San Francisco,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.664036,-122.39622,20,San Mateo,9q8y,9q8yq,9q8yqb,9q8yqb9,False,False,False,POINT (-122.39622 37.664036)
21427,12/11/18 12:53,Grundy Park,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.622585,-122.42097,86,San Mateo,9q8y,9q8yn,9q8yn0,9q8yn0z,False,False,False,POINT (-122.42097 37.622585)
38589,8/29/19 8:32,Sign Hill,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.665333,-122.41648,261,San Mateo,9q8y,9q8yq,9q8yq2,9q8yq2g,False,False,False,POINT (-122.41648 37.665333)
60171,7/23/20 14:31,South San Francisco Westborough Park,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,7.02,,37.64361,-122.45865,436,San Mateo,9q8y,9q8yj,9q8yjk,9q8yjku,False,False,False,POINT (-122.45865 37.64361)
65711,9/4/20 8:20,Commodore Dr,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.63386,-122.42311,76,San Mateo,9q8y,9q8yn,9q8yn5,9q8yn5n,False,False,False,POINT (-122.42311 37.63386)
67263,9/9/20 13:27,Danger Stairs,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.662823,-122.45957,168,San Mateo,9q8y,9q8ym,9q8ym2,9q8ym27,False,False,False,POINT (-122.45957 37.662823)
67419,9/10/20 7:45,Acacia And Crystal Springs,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.61825,-122.41345,51,San Mateo,9q8y,9q8yn,9q8yn2,9q8yn2j,False,False,False,POINT (-122.41345 37.61825)
68487,9/14/20 11:40,Belle Air,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.62725,-122.40895,12,San Mateo,9q8y,9q8yn,9q8yn9,9q8yn9b,False,False,False,POINT (-122.40895 37.62725)
69403,9/17/20 14:34,"Sunshine Gardens, SSF",PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.6696,-122.43797,164,San Mateo,9q8y,9q8ym,9q8ymc,9q8ymce,False,False,False,POINT (-122.43797 37.6696)
70569,9/22/20 9:18,Rollingwood / Palmhaus,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.62681,-122.44654,545,San Mateo,9q8y,9q8yj,9q8yj9,9q8yj9v,False,False,False,POINT (-122.44654 37.62681)
70679,9/22/20 9:38,Home,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.64743,-122.468575,607,San Mateo,9q8y,9q8yj,9q8yjj,9q8yjjt,False,False,False,POINT (-122.468575 37.64743)
76803,10/5/20 7:55,"Crystal Springs Terrace, Building 27",PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.605736,-122.42611,389,San Mateo,9q8v,9q8vy,9q8vyj,9q8vyju,False,False,False,POINT (-122.42611 37.605736)
78387,10/7/20 9:03,South City Lights,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,7.02,,37.64556,-122.45438,319,San Mateo,9q8y,9q8yj,9q8yjm,9q8yjmp,False,False,False,POINT (-122.45438 37.64556)
