"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600100,4.6,"Percent of adults",4.1,5.2,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600100,3.6,"Percent of adults",2.9,4.5,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600100,3.8,"Percent of adults",3.3,4.5,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600100,3.7,"Percent of adults",3.1,4.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600100,4.0,"Percent of adults",3.3,4.7,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,4.0,"Percent of adults",3.6,4.5,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,3.9,"Percent of adults",3.3,4.7,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,4.2,"Percent of adults",3.7,4.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,4.2,"Percent of adults",3.7,4.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,4.1,"Percent of adults",3.7,4.7,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,3.7,"Percent of adults",3.3,4.2,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",06081600200,4.3,"Percent of adults",3.8,4.8,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
