Location,Indicator Rate Value,Rank,County,Period of Measure
6081610500,84.1,5,San Mateo,2025
6081600402,81,5,San Mateo,2025
6081611800,74.3,5,San Mateo,2025
6081600701,73.2,5,San Mateo,2025
6081612102,71.3,5,San Mateo,2025
6081606201,68.8,5,San Mateo,2025
6081612002,66.8,5,San Mateo,2025
6081610400,57.1,4,San Mateo,2025
6081600200,55.8,4,San Mateo,2025
6081602100,54.9,4,San Mateo,2025
6081612001,54.6,4,San Mateo,2025
6081610601,54,4,San Mateo,2025
6081608900,47.1,4,San Mateo,2025
6081606100,45.8,4,San Mateo,2025
6081604104,45.6,4,San Mateo,2025
6081605501,38.6,3,San Mateo,2025
6081603801,33.7,3,San Mateo,2025
6081607702,31,3,San Mateo,2025
6081600502,30.1,3,San Mateo,2025
6081611901,30,3,San Mateo,2025
6081610902,29.9,3,San Mateo,2025
6081604400,28.7,3,San Mateo,2025
6081605902,28.2,3,San Mateo,2025
6081610201,27.7,3,San Mateo,2025
6081604103,27.6,3,San Mateo,2025
6081610100,27.1,3,San Mateo,2025
6081610700,26.3,3,San Mateo,2025
6081601302,26.2,3,San Mateo,2025
6081604102,23.6,3,San Mateo,2025
6081607400,23,3,San Mateo,2025
6081600100,22.6,3,San Mateo,2025
6081600800,22.2,3,San Mateo,2025
6081607600,22.2,3,San Mateo,2025
6081610800,21.9,3,San Mateo,2025
6081606000,20.9,3,San Mateo,2025
6081610602,20.3,3,San Mateo,2025
6081603000,19.4,3,San Mateo,2025
6081601601,18,2,San Mateo,2025
6081603802,17.6,2,San Mateo,2025
6081610203,17.1,2,San Mateo,2025
6081608600,16.8,2,San Mateo,2025
6081600300,15.8,2,San Mateo,2025
6081600501,14.2,2,San Mateo,2025
6081601400,13.8,2,San Mateo,2025
6081608502,13.8,2,San Mateo,2025
6081607701,13.5,2,San Mateo,2025
6081600900,13.2,2,San Mateo,2025
6081611700,13,2,San Mateo,2025
6081611902,12.9,2,San Mateo,2025
6081602201,12.7,2,San Mateo,2025
6081600600,11.6,2,San Mateo,2025
6081601301,11.6,2,San Mateo,2025
6081610302,11.6,2,San Mateo,2025
6081602800,11.5,2,San Mateo,2025
6081603900,11.4,2,San Mateo,2025
6081602300,11,2,San Mateo,2025
6081611000,11,2,San Mateo,2025
6081604200,10.8,2,San Mateo,2025
6081601502,10.6,2,San Mateo,2025
6081601901,9.8,2,San Mateo,2025
6081603300,9.5,2,San Mateo,2025
6081602202,9.4,2,San Mateo,2025
6081602400,9.4,2,San Mateo,2025
6081603700,9.3,2,San Mateo,2025
6081606202,9.3,2,San Mateo,2025
6081613702,9.2,2,San Mateo,2025
6081601000,9,2,San Mateo,2025
6081600702,8.4,2,San Mateo,2025
6081609601,8.3,2,San Mateo,2025
6081604500,8,2,San Mateo,2025
6081603400,7.8,2,San Mateo,2025
6081601604,7.2,2,San Mateo,2025
6081605901,7.2,2,San Mateo,2025
6081604900,6.9,2,San Mateo,2025
6081605100,6.9,2,San Mateo,2025
6081613501,6.8,2,San Mateo,2025
6081613600,6.7,2,San Mateo,2025
6081602700,6.5,2,San Mateo,2025
6081601605,5.9,1,San Mateo,2025
6081613502,5.9,1,San Mateo,2025
6081601800,5.8,1,San Mateo,2025
6081610901,5.8,1,San Mateo,2025
6081600401,5.7,1,San Mateo,2025
6081601603,5.7,1,San Mateo,2025
6081603200,5.5,1,San Mateo,2025
6081606300,5.2,1,San Mateo,2025
6081602002,4.6,1,San Mateo,2025
6081605300,4.5,1,San Mateo,2025
6081613800,4.5,1,San Mateo,2025
6081607800,4.3,1,San Mateo,2025
6081602900,4.2,1,San Mateo,2025
6081604600,4,1,San Mateo,2025
6081602601,3.9,1,San Mateo,2025
6081605400,3.9,1,San Mateo,2025
6081601501,3.8,1,San Mateo,2025
6081607200,3.7,1,San Mateo,2025
6081601200,3.5,1,San Mateo,2025
6081602001,3.5,1,San Mateo,2025
6081608501,3.4,1,San Mateo,2025
6081611300,3.4,1,San Mateo,2025
6081605800,3.2,1,San Mateo,2025
6081608400,3.2,1,San Mateo,2025
6081612500,3,1,San Mateo,2025
6081609000,2.9,1,San Mateo,2025
6081604800,2.7,1,San Mateo,2025
6081607900,2.7,1,San Mateo,2025
6081601902,2.6,1,San Mateo,2025
