"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.560,,0.472,0.649,,,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.545,,0.458,0.632,,,,,No,2018-2022,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.540,,0.446,0.635,,,,,No,2017-2021,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.533,,0.432,0.634,,,,,No,2016-2020,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.445,,0.403,0.487,,,,,No,2015-2019,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.451,,0.412,0.490,,,,,No,2014-2018,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600100,0.440,,0.388,0.492,,,,,No,2013-2017,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.419,,0.366,0.472,,,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.428,,0.386,0.470,,,,,No,2018-2022,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.426,,0.385,0.467,,,,,No,2017-2021,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.376,,0.335,0.417,,,,,No,2016-2020,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.424,,0.384,0.464,,,,,No,2015-2019,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.403,,0.367,0.439,,,,,No,2014-2018,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600200,0.399,,0.360,0.438,,,,,No,2013-2017,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Income Inequality","This indicator shows the Gini Index of Income Inequality value. The Gini coefficient is commonly used as a measure of income inequality. The range of the coefficient is between 0 and 1, whereby 0 denotes complete equality in a population (every person receives the same income) and 1 denotes complete inequality (one person has all the wealth in the region).","Census Tract",06081600300,0.487,,0.384,0.590,,,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
