"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600100,12.4,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600100,16.9,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600100,0.6,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600200,0.0,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600200,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600200,28.9,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600300,1.1,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600300,2.4,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600300,4.9,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600401,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600401,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600402,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600402,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600500,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600500,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600600,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600600,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600700,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600700,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600800,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600800,0.0,percent,,,,,,,No,2010,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600900,0.0,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
"Low-Income and Low Access to a Grocery Store","This indicator shows the percentage of the total population in a county that is low income and living more than one mile from a supermarket or large grocery store if in an urban area, and more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081600900,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas",,,,,,,,,,,,,,
