"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600100,4.0,percent,,,81,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600200,6.2,percent,,,68,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600300,6.2,percent,,,87,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600401,5.2,percent,,,59,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600402,9.9,percent,,,115,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600501,10.3,percent,,,122,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600502,11.5,percent,,,128,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600600,13.9,percent,,,202,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600701,10.5,percent,,,123,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Overcrowded Households","This indicator shows the households where there are more people than rooms of all types, besides bathrooms.
 

Numerator = Total estimate of housing units with 1.01 or more occupants per room
Denominator = Total estimate of occupied housing units
","Census Tract",06081600702,13.3,percent,,,119,households,,,No,2019-2023,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
